Engine_Speed;Torque Engine 1 (N.m)
[rpm];[N.m]
6500;213.159
6000;219.44
5500;218.162
5000;216.48
4500;206.921
4000;199.772
3500;191.924
3000;177.518
2500;162.783
2000;145.316
