Torque;TrappedFuelMassFlow Engine 1 (kg/h)
[Nm];[kg/h]
13.101;1.13209
174.38;20.073
176.814;20.6262
179.22;20.7796
180.074;21.1546
178.639;21.1368
176.681;20.9253
175.467;20.7782
174.392;20.7117
172.089;20.6854
171.111;20.6758
169.703;20.6723
168.811;20.6711
167.473;20.6706
166.68;20.6704
165.425;20.6703
164.676;20.6703
163.51;20.6703
162.783;20.6703
