Torque;TrappedFuelMassFlow Engine 1 (kg/h)
[Nm];[kg/h]
13.101;0.732602
174.38;13.1184
176.814;13.28
179.22;13.453
180.074;13.636
178.639;13.6498
176.681;13.5115
175.467;13.3906
174.392;13.3309
172.089;13.3072
171.111;13.2984
169.703;13.2951
168.811;13.1926
167.473;13.0946
166.68;13.0569
165.425;13.0315
164.676;13.0065
163.51;12.9917
162.783;12.9764
