Torque;TrappedFuelMassFlow Engine 1 (kg/h)
[Nm];[kg/h]
13.101;2.0093
174.38;34.6028
176.814;36.2651
179.22;36.6646
180.074;37.6888
178.639;37.6195
176.681;37.3178
175.467;37.1364
174.392;37.065
172.089;37.0351
171.111;37.0292
169.703;37.025
168.811;37.0239
167.473;37.0233
166.68;37.0231
165.425;37.023
164.676;37.0229
163.51;37.0229
162.783;37.0229
