Torque;TrappedFuelMassFlow Engine 1 (kg/h)
[Nm];[kg/h]
13.101;1.36105
174.38;22.7603
176.814;24.0654
179.22;24.3261
180.074;24.8067
178.639;24.7637
176.681;24.5051
175.467;24.3315
174.392;24.2563
172.089;24.2273
171.111;24.2172
169.703;24.2133
168.811;24.2119
167.473;24.2114
166.68;24.2112
165.425;24.2111
164.676;24.2111
163.51;24.2111
162.783;24.211
