Torque;TrappedFuelMassFlow Engine 1 (kg/h)
[Nm];[kg/h]
10.3774;10.9855
182.261;33.9461
179.837;35.3047
172.033;35.4913
171.007;35.5903
171.013;35.5971
171.023;35.5986
171.008;35.5993
171.006;35.5997
171.001;35.5999
171;35.5999
171.004;35.5999
171.002;35.6
171;35.6
170.999;35.5999
171.001;35.5999
171.002;35.6
170.999;35.6
171.001;35.5999
