Torque;TrappedFuelMassFlow Engine 1 (kg/h)
[Nm];[kg/h]
10.3774;5.70175
182.261;18.9604
179.837;19.2446
172.033;17.7851
171.007;16.7108
171.013;16.8246
171.023;16.7342
171.008;16.7565
171.006;16.7566
171.001;16.7432
171;16.7608
171.004;16.7495
171.002;16.7562
171;16.7584
170.999;16.7538
171.001;16.7612
171.002;16.7563
170.999;16.7596
171.001;16.7598
