Torque;TrappedFuelMassFlow Engine 1 (kg/h)
[Nm];[kg/h]
10.3774;9.96727
182.261;32.1116
179.837;32.8881
172.033;32.0139
171.007;32.0685
171.013;32.068
171.023;32.0638
171.008;32.0639
171.006;32.064
171.001;32.0642
171;32.0642
171.004;32.0642
171.002;32.0642
171;32.0641
170.999;32.0642
171.001;32.0641
171.002;32.0641
170.999;32.0641
171.001;32.064
