Torque;TrappedFuelMassFlow Engine 1 (kg/h)
[Nm];[kg/h]
10.3774;4.56295
182.261;13.6948
179.837;14.0896
172.033;12.8122
171.007;13.004
171.013;13.0355
171.023;13.0191
171.008;13.0156
171.006;13.0149
171.001;13.0137
171;13.0139
171.004;13.014
171.002;13.0139
171;13.0139
170.999;13.0139
171.001;13.014
171.002;13.014
170.999;13.0139
171.001;13.014
