Torque;TrappedFuelMassFlow Engine 1 (kg/h)
[Nm];[kg/h]
10.3774;8.26816
182.261;25.6084
179.837;26.5405
172.033;26.4764
171.007;26.662
171.013;26.6675
171.023;26.6737
171.008;26.6771
171.006;26.6777
171.001;26.6779
171;26.6781
171.004;26.6782
171.002;26.6783
171;26.6782
170.999;26.6782
171.001;26.6782
171.002;26.6781
170.999;26.6782
171.001;26.6782
