Torque;TrappedFuelMassFlow Engine 1 (kg/h)
[Nm];[kg/h]
10.3774;7.52994
182.261;23.7583
179.837;24.319
172.033;24.1196
171.007;24.0834
171.013;24.0914
171.023;24.0966
171.008;24.0977
171.006;24.098
171.001;24.0981
171;24.0982
171.004;24.0982
171.002;24.0982
171;24.0982
170.999;24.0982
171.001;24.0982
171.002;24.0982
170.999;24.0982
171.001;24.0982
